neg_id,src_idx,src_lat,src_lon,neg_lat,neg_lon,offset_m,img_path,img_download_ok,img_status_code,img_content_type
0,170,41.8010206,-88.2937039,41.784003580988575,-88.28057338899626,2179.080805372032,negative_samples_random_offset_1500_5000m_1000/neg_0.jpg,True,200,image/png
1,69,36.7060283,-119.7483455,36.68306912148984,-119.76481164215991,2939.7053353764977,negative_samples_random_offset_1500_5000m_1000/neg_1.jpg,True,200,image/png
2,29,33.4237443,-84.15020059999999,33.45367842355089,-84.17429346842451,4002.7756907228845,negative_samples_random_offset_1500_5000m_1000/neg_2.jpg,True,200,image/png
3,67,41.7203455,-87.5885459,41.74034387520356,-87.61289975606988,2999.8068701870816,negative_samples_random_offset_1500_5000m_1000/neg_3.jpg,True,200,image/png
4,135,41.6678167,-93.49913839999999,41.6928497221287,-93.5229950496456,3410.875329037857,negative_samples_random_offset_1500_5000m_1000/neg_4.jpg,True,200,image/png
5,150,42.5460182,-114.4098399,42.550021163922224,-114.37503566172578,2880.6785133188114,negative_samples_random_offset_1500_5000m_1000/neg_5.jpg,True,200,image/png
6,241,44.0744955,-87.6726066,44.06466260933296,-87.69376408883723,2009.4829790313966,negative_samples_random_offset_1500_5000m_1000/neg_6.jpg,True,200,image/png
7,162,34.7278482,-82.38263529999999,34.73533414465704,-82.42171409536077,3660.608422501473,negative_samples_random_offset_1500_5000m_1000/neg_7.jpg,True,200,image/png
8,45,43.5561199,-89.4838588,43.54068947637016,-89.50988688385932,2705.0626093614105,negative_samples_random_offset_1500_5000m_1000/neg_8.jpg,True,200,image/png
9,192,33.0060672,-96.6850311,33.02613568935633,-96.68314833639386,2234.486026708006,negative_samples_random_offset_1500_5000m_1000/neg_9.jpg,True,200,image/png
10,188,36.7823281,-77.79693499999999,36.81339374986649,-77.83596433178556,4891.8311140119185,negative_samples_random_offset_1500_5000m_1000/neg_10.jpg,True,200,image/png
11,339,35.715278,-80.89020699999999,35.720792259486906,-80.84186347587405,4399.695900744282,negative_samples_random_offset_1500_5000m_1000/neg_11.jpg,True,200,image/png
12,311,44.2037656,-88.4817772,44.22242982968347,-88.50102016469667,2576.167631333741,negative_samples_random_offset_1500_5000m_1000/neg_12.jpg,True,200,image/png
13,246,33.71661460000001,-117.969072,33.74030058194172,-117.97058464667275,2632.850813499953,negative_samples_random_offset_1500_5000m_1000/neg_13.jpg,True,200,image/png
14,334,42.9153617,-78.68933059999999,42.95749135100381,-78.68328437635401,4702.1502454587435,negative_samples_random_offset_1500_5000m_1000/neg_14.jpg,True,200,image/png
15,264,34.0011637,-117.4878154,34.0235389005352,-117.46281353684222,3385.529875286262,negative_samples_random_offset_1500_5000m_1000/neg_15.jpg,True,200,image/png
16,191,36.4096621,-86.3728929,36.436646309913854,-86.35165138130353,3545.7299074345165,negative_samples_random_offset_1500_5000m_1000/neg_16.jpg,True,200,image/png
17,295,40.3614109,-111.778378,40.37448858160568,-111.74981115332015,2818.694833413296,negative_samples_random_offset_1500_5000m_1000/neg_17.jpg,True,200,image/png
18,175,33.6692974,-83.98140599999999,33.70505879190608,-84.00818269356965,4677.166000059075,negative_samples_random_offset_1500_5000m_1000/neg_18.jpg,True,200,image/png
19,148,36.0604781,-79.42560069999999,36.039686902526505,-79.45470581842396,3485.2277288270134,negative_samples_random_offset_1500_5000m_1000/neg_19.jpg,True,200,image/png
20,283,27.2604239,-80.4191494,27.29927858464609,-80.42042971833332,4314.719823341689,negative_samples_random_offset_1500_5000m_1000/neg_20.jpg,True,200,image/png
21,69,36.7060283,-119.7483455,36.671084753726845,-119.78260390023605,4933.446715622269,negative_samples_random_offset_1500_5000m_1000/neg_21.jpg,True,200,image/png
22,8,40.63396789999999,-74.1212309,40.61004745335471,-74.12585582176966,2683.5988671141326,negative_samples_random_offset_1500_5000m_1000/neg_22.jpg,True,200,image/png
23,107,46.0237332,-73.4254425,45.983336887541455,-73.43557692553779,4551.515213760894,negative_samples_random_offset_1500_5000m_1000/neg_23.jpg,True,200,image/png
24,207,37.0281414,-86.2406364,37.0126211100958,-86.20363066594366,3704.2700526674753,negative_samples_random_offset_1500_5000m_1000/neg_24.jpg,True,200,image/png
25,2,32.8584045,-96.6698261,32.85786441825463,-96.72139487763191,4808.726526747707,negative_samples_random_offset_1500_5000m_1000/neg_25.jpg,True,200,image/png
26,270,48.1283913,-122.1778173,48.10080872225929,-122.14809260139953,3771.4369543564385,negative_samples_random_offset_1500_5000m_1000/neg_26.jpg,True,200,image/png
27,274,39.3265425,-76.4850548,39.3175636023691,-76.50838429325354,2237.4005976273056,negative_samples_random_offset_1500_5000m_1000/neg_27.jpg,True,200,image/png
28,304,33.4325285,-88.55654779999999,33.459808552697886,-88.54814096122158,3126.621482942988,negative_samples_random_offset_1500_5000m_1000/neg_28.jpg,True,200,image/png
29,101,45.398451,-74.045773,45.43390535472685,-74.02408344299042,4283.159440130939,negative_samples_random_offset_1500_5000m_1000/neg_29.jpg,True,200,image/png
30,231,37.3786557,-79.1621045,37.38625653789015,-79.1296338272003,2985.7615525412257,negative_samples_random_offset_1500_5000m_1000/neg_30.jpg,True,200,image/png
31,89,34.2385744,-118.5770675,34.25134892712407,-118.5656132973814,1765.0553770579795,negative_samples_random_offset_1500_5000m_1000/neg_31.jpg,True,200,image/png
32,278,38.39276359999999,-78.96630739999999,38.41773690625614,-78.9775348034158,2939.092945485094,negative_samples_random_offset_1500_5000m_1000/neg_32.jpg,True,200,image/png
33,81,43.12105529999999,-88.19050299999999,43.105383508561985,-88.16799100063025,2520.476760532119,negative_samples_random_offset_1500_5000m_1000/neg_33.jpg,True,200,image/png
34,209,42.670995,-74.4753668,42.700497214748694,-74.4867736654048,3404.5026825608475,negative_samples_random_offset_1500_5000m_1000/neg_34.jpg,True,200,image/png
35,266,41.666539,-88.09290969999999,41.668390395025135,-88.13705049283625,3665.9168696697852,negative_samples_random_offset_1500_5000m_1000/neg_35.jpg,True,200,image/png
36,96,38.8228664,-91.06879049999999,38.81236853703996,-91.04580329655947,2304.2573757811615,negative_samples_random_offset_1500_5000m_1000/neg_36.jpg,True,200,image/png
37,17,42.0518382,-71.3952826,42.046158582860315,-71.4551058780496,4970.884841986982,negative_samples_random_offset_1500_5000m_1000/neg_37.jpg,True,200,image/png
38,34,31.875473,-110.7812044,31.894609484216186,-110.75047952049412,3591.62012372203,negative_samples_random_offset_1500_5000m_1000/neg_38.jpg,True,200,image/png
39,295,40.3614109,-111.778378,40.36796826091023,-111.76197497256906,1566.698292931296,negative_samples_random_offset_1500_5000m_1000/neg_39.jpg,True,200,image/png
40,307,46.7535359,-92.0968223,46.746928746258156,-92.14306080560041,3592.117808326396,negative_samples_random_offset_1500_5000m_1000/neg_40.jpg,True,200,image/png
41,78,41.6760207,-88.0699849,41.678846135480235,-88.02054848370567,4110.6427581712915,negative_samples_random_offset_1500_5000m_1000/neg_41.jpg,True,200,image/png
42,316,34.10100750000001,-117.5343267,34.09318757199495,-117.50548279729485,2789.628175435049,negative_samples_random_offset_1500_5000m_1000/neg_42.jpg,True,200,image/png
43,117,46.5291258,-93.72923229999999,46.50945583441272,-93.67422584211224,4734.18589359108,negative_samples_random_offset_1500_5000m_1000/neg_43.jpg,True,200,image/png
44,8,40.63396789999999,-74.1212309,40.644614734290954,-74.09824207859106,2268.62334100439,negative_samples_random_offset_1500_5000m_1000/neg_44.jpg,True,200,image/png
45,146,34.7668834,-87.8918613,34.78160147026828,-87.9255592763259,3480.0306857386536,negative_samples_random_offset_1500_5000m_1000/neg_45.jpg,True,200,image/png
46,338,19.4130337,-99.16337089999999,19.42665627254401,-99.15211713838634,1916.8979056786425,negative_samples_random_offset_1500_5000m_1000/neg_46.jpg,True,200,image/png
47,314,34.0768353,-117.5349516,34.05318576888504,-117.51028185546018,3469.2311499066955,negative_samples_random_offset_1500_5000m_1000/neg_47.jpg,True,200,image/png
48,216,30.0022545,-90.0160976,30.024499483730615,-90.00003746913322,2912.087410026641,negative_samples_random_offset_1500_5000m_1000/neg_48.jpg,True,200,image/png
49,184,41.4108759,-84.1082382,41.40129777979282,-84.12420831099324,1702.3121178330848,negative_samples_random_offset_1500_5000m_1000/neg_49.jpg,True,200,image/png
50,302,34.4505665,-118.6435186,34.4835522069731,-118.65982946336875,3954.099960053636,negative_samples_random_offset_1500_5000m_1000/neg_50.jpg,True,200,image/png
51,220,42.264707,-83.40351,42.23294925754808,-83.37753157448608,4120.721857022893,negative_samples_random_offset_1500_5000m_1000/neg_51.jpg,True,200,image/png
52,207,37.0281414,-86.2406364,37.01427128731996,-86.24568200268264,1603.1937935566343,negative_samples_random_offset_1500_5000m_1000/neg_52.jpg,True,200,image/png
53,73,46.379695,-72.6643529,46.353670043254155,-72.66905217005487,2911.0972282922157,negative_samples_random_offset_1500_5000m_1000/neg_53.jpg,True,200,image/png
54,291,42.5351036,-113.8496899,42.52049842614096,-113.83642784806936,1950.5998270689022,negative_samples_random_offset_1500_5000m_1000/neg_54.jpg,True,200,image/png
55,127,42.3769307,-83.2964993,42.402690344798685,-83.32347098410453,3614.8410415037797,negative_samples_random_offset_1500_5000m_1000/neg_55.jpg,True,200,image/png
