lat,lon,neg_category,seed_density_type,search_dist_used,exclusion_buffer_used,base_category,strategy_name,sample_id,image_name
40.5252823,-74.7970383,fuel,isolated,5000,800,fuel,density_v2,0000000,neg_0000000.png
40.5056176,-74.85170085,fuel,isolated,5000,800,fuel,density_v2,0000001,neg_0000001.png
29.4174243,-98.62939931964101,fuel,isolated,5000,800,fuel,density_v2,0000002,neg_0000002.png
40.488710850000004,-74.86197301975702,fuel,isolated,5000,800,fuel,density_v2,0000003,neg_0000003.png
29.4491742,-98.5693654,fuel,isolated,5000,800,fuel,density_v2,0000004,neg_0000004.png
40.8836038,-73.989219989784,fuel,isolated,5000,800,fuel,density_v2,0000005,neg_0000005.png
29.38680475,-98.58912443359324,fuel,isolated,5000,800,fuel,density_v2,0000006,neg_0000006.png
29.457701,-98.63620600282486,fuel,isolated,5000,800,fuel,density_v2,0000007,neg_0000007.png
40.9013176,-73.999578,fuel,isolated,5000,800,fuel,density_v2,0000008,neg_0000008.png
40.488959949999995,-74.86204525257595,fuel,isolated,5000,800,fuel,density_v2,0000009,neg_0000009.png
40.87740205,-73.98229492820671,fuel,isolated,5000,800,fuel,density_v2,0000010,neg_0000010.png
40.52292045,-74.85272300254503,fuel,isolated,5000,800,fuel,density_v2,0000011,neg_0000011.png
29.4174503,-98.64872875123103,fuel,isolated,5000,800,fuel,density_v2,0000012,neg_0000012.png
29.466644199999998,-98.61720595,fuel,isolated,5000,800,fuel,density_v2,0000013,neg_0000013.png
40.50222395,-74.85655331070393,fuel,isolated,5000,800,fuel,density_v2,0000014,neg_0000014.png
40.501506449999994,-74.85716435,fuel,isolated,5000,800,fuel,density_v2,0000015,neg_0000015.png
40.5056374,-74.85170025299286,fuel,isolated,5000,800,fuel,density_v2,0000016,neg_0000016.png
40.50870365,-74.85144583507605,fuel,isolated,5000,800,fuel,density_v2,0000017,neg_0000017.png
29.455604899999997,-98.6352621118722,fuel,isolated,5000,800,fuel,density_v2,0000018,neg_0000018.png
29.45380565,-98.63052819570098,fuel,isolated,5000,800,fuel,density_v2,0000019,neg_0000019.png
40.9471574,-73.9249608081364,fuel,isolated,5000,800,fuel,density_v2,0000020,neg_0000020.png
40.9143112,-74.00055242078005,fuel,isolated,5000,800,fuel,density_v2,0000021,neg_0000021.png
40.90063785,-74.0055963084375,fuel,isolated,5000,800,fuel,density_v2,0000022,neg_0000022.png
40.51193835,-74.85150367349462,fuel,isolated,5000,800,fuel,density_v2,0000023,neg_0000023.png
40.4997205,-74.85499465179878,fuel,isolated,5000,800,fuel,density_v2,0000024,neg_0000024.png
40.522850000000005,-74.85286262136873,fuel,isolated,5000,800,fuel,density_v2,0000025,neg_0000025.png
29.4418043,-98.64070400777959,fuel,isolated,5000,800,fuel,density_v2,0000026,neg_0000026.png
29.403115999999997,-98.62900584101978,fuel,isolated,5000,800,fuel,density_v2,0000027,neg_0000027.png
40.88400765,-73.9888326474607,fuel,isolated,5000,800,fuel,density_v2,0000028,neg_0000028.png
40.9295549,-73.99591141816126,fuel,isolated,5000,800,fuel,density_v2,0000029,neg_0000029.png
29.4556982,-98.63421236836857,fuel,isolated,5000,800,fuel,density_v2,0000030,neg_0000030.png
40.49719445,-74.85712079999999,fuel,isolated,5000,800,fuel,density_v2,0000031,neg_0000031.png
29.44245505,-98.63732694549995,fuel,isolated,5000,800,fuel,density_v2,0000032,neg_0000032.png
40.8831901,-73.9874865,fuel,isolated,5000,800,fuel,density_v2,0000033,neg_0000033.png
29.39870255,-98.64597612279951,fuel,isolated,5000,800,fuel,density_v2,0000034,neg_0000034.png
29.38114705,-98.6407567,fuel,isolated,5000,800,fuel,density_v2,0000035,neg_0000035.png
29.4037207,-98.62448649999999,fuel,isolated,5000,800,fuel,density_v2,0000036,neg_0000036.png
40.5370426,-74.8572795,fuel,isolated,5000,800,fuel,density_v2,0000037,neg_0000037.png
29.38145755,-98.63696961251735,fuel,isolated,5000,800,fuel,density_v2,0000038,neg_0000038.png
40.5044148,-74.8525288,fuel,isolated,5000,800,fuel,density_v2,0000039,neg_0000039.png
35.493663,-97.63711689996371,fuel,small_cluster,3000,1200,fuel,density_v2,0000040,neg_0000040.png
47.191447049999994,-122.2738665,fuel,small_cluster,3000,1200,fuel,density_v2,0000041,neg_0000041.png
35.4980342,-97.58276516973812,fuel,small_cluster,3000,1200,fuel,density_v2,0000042,neg_0000042.png
40.0399389,-76.36368458349898,fuel,small_cluster,3000,1200,fuel,density_v2,0000043,neg_0000043.png
39.9903244,-76.74135237160795,fuel,small_cluster,3000,1200,fuel,density_v2,0000044,neg_0000044.png
47.2035171,-122.2503327,fuel,small_cluster,3000,1200,fuel,density_v2,0000045,neg_0000045.png
35.45916005,-97.60064627507711,fuel,small_cluster,3000,1200,fuel,density_v2,0000046,neg_0000046.png
35.493135800000005,-97.58283660000001,fuel,small_cluster,3000,1200,fuel,density_v2,0000047,neg_0000047.png
47.2034351,-122.22901404999999,fuel,small_cluster,3000,1200,fuel,density_v2,0000048,neg_0000048.png
35.3961135,-80.6592837,fuel,small_cluster,3000,1200,fuel,density_v2,0000049,neg_0000049.png
35.41066325,-80.66441072890002,fuel,small_cluster,3000,1200,fuel,density_v2,0000050,neg_0000050.png
40.064122,-76.4119479,fuel,small_cluster,3000,1200,fuel,density_v2,0000051,neg_0000051.png
35.40934335,-80.66346691559204,fuel,small_cluster,3000,1200,fuel,density_v2,0000052,neg_0000052.png
47.234965200000005,-122.24919039927752,fuel,small_cluster,3000,1200,fuel,density_v2,0000053,neg_0000053.png
47.1855008,-122.25824903012582,fuel,small_cluster,3000,1200,fuel,density_v2,0000054,neg_0000054.png
35.48735595,-97.58296954119922,fuel,small_cluster,3000,1200,fuel,density_v2,0000055,neg_0000055.png
35.4212518,-80.67666006120419,fuel,small_cluster,3000,1200,fuel,density_v2,0000056,neg_0000056.png
35.4028806,-80.69323423307227,fuel,small_cluster,3000,1200,fuel,density_v2,0000057,neg_0000057.png
35.48630115,-97.60138635,fuel,small_cluster,3000,1200,fuel,density_v2,0000058,neg_0000058.png
35.435047,-80.653401,fuel,small_cluster,3000,1200,fuel,density_v2,0000059,neg_0000059.png
35.48576385,-97.58290757402939,fuel,small_cluster,3000,1200,fuel,density_v2,0000060,neg_0000060.png
35.46384845,-97.6006055109595,fuel,small_cluster,3000,1200,fuel,density_v2,0000061,neg_0000061.png
35.48675035,-97.58307282512513,fuel,small_cluster,3000,1200,fuel,density_v2,0000062,neg_0000062.png
40.0448969,-76.36378949688935,fuel,small_cluster,3000,1200,fuel,density_v2,0000063,neg_0000063.png
35.46383825,-97.60211892025535,fuel,small_cluster,3000,1200,fuel,density_v2,0000064,neg_0000064.png
35.4648798,-97.6370859,fuel,small_cluster,3000,1200,fuel,density_v2,0000065,neg_0000065.png
39.9959532,-76.7341265,fuel,small_cluster,3000,1200,fuel,density_v2,0000066,neg_0000066.png
47.2284984,-122.2019269,fuel,small_cluster,3000,1200,fuel,density_v2,0000067,neg_0000067.png
47.19741975,-122.20760724739509,fuel,small_cluster,3000,1200,fuel,density_v2,0000068,neg_0000068.png
